Title,Url,Price,ISBN-10,ISBN,Author,Format,Pages,Publisher,Language
Kenny's Window,https://bulkbookstore.com/kennys-window-9780064432092,11.95,0064432092,b'9780064432092',"Maurice Sendak, Maurice Sendak",Paperback,64.0,"HarperCollins (February 17, 2004)",English
The Frog and Toad Collection Box Set (Includes 3 Favorite Frog and Toad Stories!),https://bulkbookstore.com/the-frog-and-toad-collection-box-set-9780060580865,14.99,0060580860,b'9780060580865',"Arnold Lobel, Arnold Lobel",Paperback,192.0,"HarperCollins (May 25, 2004)",English
The Duke And I,https://bulkbookstore.com/the-duke-and-i-9780380800827,7.99,0380800829,b'9780380800827',Julia Quinn,Paperback,384.0,"HarperCollins (June 27, 2006)",English
I Stink! Board Book,https://bulkbookstore.com/i-stink-board-book-9780060745929,7.99,0060745924,b'9780060745929',"Kate McMullan, Jim McMullan",Board Book,34.0,"HarperCollins (April 5, 2005)",English
Unlocking the Air (Stories),https://bulkbookstore.com/unlocking-the-air-stories-9780060928032,13.99,0060928034,b'9780060928032',Ursula K. Le Guin,Paperback,224.0,"HarperCollins (March 15, 2005)",English
The Compass Rose (Stories),https://bulkbookstore.com/the-compass-rose-stories-9780060914479,14.99,0060914475,b'9780060914479',Ursula K. Le Guin,Paperback,384.0,"HarperCollins (March 15, 2005)",English
Molly's Pilgrim,https://bulkbookstore.com/mollys-pilgrim-9780688162801,3.99,0688162800,b'9780688162801',Barbara Cohen,Paperback,32.0,"HarperCollins (April 26, 2005)",English
Little Critter: Snowball Soup,https://bulkbookstore.com/little-critter-snowball-soup-9780060835439,4.99,0060835435,b'9780060835439',"Mercer Mayer, Mercer Mayer",Paperback,32.0,"HarperCollins (September 25, 2007)",English
On Market Street 25th Anniversary Edition,https://bulkbookstore.com/on-market-street-25th-anniversary-edition-9780688087456,7.99,0688087450,b'9780688087456',"Arnold Lobel, Anita Lobel",Paperback,40.0,"HarperCollins (February 7, 2006)",English
"Good Omens (The Nice and Accurate Prophecies of Agnes Nutter, Witch)",https://bulkbookstore.com/good-omens-the-nice-and-accurate-prophecies-of-agnes-nutter-witch-9780060853976,17.99,0060853972,b'9780060853976',"Neil Gaiman, Terry Pratchett",Paperback,400.0,"HarperCollins (August 7, 2007)",English
The Light Fantastic (A Discworld Novel),https://bulkbookstore.com/the-light-fantastic-a-discworld-novel-9780060855888,15.99,0060855886,b'9780060855888',Terry Pratchett,Paperback,272.0,"HarperCollins (September 13, 2005)",English
Seekers #2: Great Bear Lake,https://bulkbookstore.com/seekers-2-great-bear-lake-9780060871253,16.99,0060871253,b'9780060871253',Erin Hunter,Hardcover,320.0,"HarperCollins (February 10, 2009)",English
"Perfect Spy (The Incredible Double Life of Pham Xuan An, Time Magazine Reporter and Vietnamese Communist Agent)",https://bulkbookstore.com/perfect-spy-the-incredible-double-life-of-pham-xuan-an-time-magazine-reporter-and-vietnamese-communist-agent-9780060888398,16.99,0060888393,b'9780060888398',Larry Berman,Paperback,336.0,"HarperCollins (May 13, 2008)",English
"Little, Big",https://bulkbookstore.com/little-big-9780061120053,19.99,0061120057,b'9780061120053',John Crowley,Paperback,576.0,"HarperCollins (October 17, 2006)",English
Promise Not to Tell (A Novel),https://bulkbookstore.com/promise-not-to-tell-a-novel-9780061143311,13.99,0061143316,b'9780061143311',Jennifer McMahon,Paperback,256.0,"HarperCollins (April 10, 2007)",English
Mac and Cheese,https://bulkbookstore.com/mac-and-cheese-9780061170812,4.99,006117081X,b'9780061170812',"Sarah Weeks, Jane Manning",Paperback,32.0,"HarperCollins (October 12, 2010)",English
Stardust,https://bulkbookstore.com/stardust-9780380804559,7.99,0380804557,b'9780380804559',Neil Gaiman,Paperback,352.0,"HarperCollins (July 31, 2007)",English
Collins Latin Concise Dictionary,https://bulkbookstore.com/collins-latin-concise-dictionary-9780060536909,17.99,006053690X,b'9780060536909',HarperCollins Publishers,Paperback,600.0,"HarperCollins (February 7, 2006)",English
Johnny Hangtime,https://bulkbookstore.com/johnny-hangtime-9780380810123,5.99,0380810123,b'9780380810123',Dan Gutman,Paperback,144.0,"HarperCollins (January 2, 2008)",English
Tales of the City (A Novel),https://bulkbookstore.com/tales-of-the-city-a-novel-9780061358302,15.99,0061358304,b'9780061358302',Armistead Maupin,Paperback,400.0,"HarperCollins (May 29, 2007)",English
Flat Stanley's Worldwide Adventures #1: The Mount Rushmore Calamity,https://bulkbookstore.com/flat-stanleys-worldwide-adventures-1-the-mount-rushmore-calamity-9780061429903,4.99,0061429902,b'9780061429903',"Jeff Brown, Macky Pamintuan",Paperback,96.0,"HarperCollins (April 21, 2009)",English
Flat Stanley's Worldwide Adventures #2: The Great Egyptian Grave Robbery,https://bulkbookstore.com/flat-stanleys-worldwide-adventures-2-the-great-egyptian-grave-robbery-9780061429927,4.99,0061429929,b'9780061429927',"Jeff Brown, Macky Pamintuan",Paperback,96.0,"HarperCollins (April 21, 2009)",English
Flat Stanley's Worldwide Adventures #6: The African Safari Discovery,https://bulkbookstore.com/flat-stanleys-worldwide-adventures-6-the-african-safari-discovery-9780061430015,15.99,0061430013,b'9780061430015',"Jeff Brown, Macky Pamintuan",Hardcover,112.0,"HarperCollins (December 21, 2010)",English
How to Paint a Dead Man (A Novel),https://bulkbookstore.com/how-to-paint-a-dead-man-a-novel-9780061430459,15.99,0061430455,b'9780061430459',Sarah Hall,Paperback,320.0,"HarperCollins (September 8, 2009)",English
"Danny and the Dinosaur 3-Book Box Set (Danny and the Dinosaur; Happy Birthday, Danny and the Dinosaur!; Danny and the Dinosaur Go to Camp)",https://bulkbookstore.com/danny-and-the-dinosaur-50th-anniversary-box-set-9780061430831,11.99,0061430838,b'9780061430831',"Syd Hoff, Syd Hoff",Paperback,288.0,"HarperCollins (October 7, 2008)",English
The Cheese Monkeys (A Novel In Two Semesters),https://bulkbookstore.com/the-cheese-monkeys-a-novel-in-two-semesters-9780061452482,13.99,0061452483,b'9780061452482',Chip Kidd,Paperback,320.0,"HarperCollins (January 8, 2008)",English
Evidence of the Afterlife (The Science of Near-Death Experiences),https://bulkbookstore.com/evidence-of-the-afterlife-the-science-of-near-death-experiences-9780061452574,14.99,0061452572,b'9780061452574',"Jeffrey Long, Paul Perry",Paperback,224.0,"HarperCollins (January 4, 2011)",English
Are You Smarter Than a Fifth Grader? (The Play-at-Home Companion Book to the Hit TV Show!),https://bulkbookstore.com/are-you-smarter-than-a-fifth-grader-the-play-at-home-companion-book-to-the-hit-tv-show-9780061473067,12.99,0061473065,b'9780061473067',Michael Benson,Paperback,208.0,"HarperCollins (October 2, 2007)",English
Scared of Santa (Scenes of Terror in Toyland) (Miniature Edition),https://bulkbookstore.com/scared-of-santa-scenes-of-terror-in-toyland-9780061490996,12.99,0061490997,b'9780061490996',"Denise Joyce, Nancy Watkins",Paperback,288.0,"HarperCollins (October 14, 2008)",English
The Pillars of the Earth,https://bulkbookstore.com/the-pillars-of-the-earth-9780688046590,34.99,0688046592,b'9780688046590',Ken Follett,Hardcover,973.0,"HarperCollins (December 18, 2007)",English
Letting Go (Fifth Edition) (A Parents' Guide to Understanding the College Years),https://bulkbookstore.com/letting-go-fifth-edition-a-parents-guide-to-understanding-the-college-years-9780061665738,14.99,0061665738,b'9780061665738',"Karen Levin Coburn, Madge Lawrence Treeger",Paperback,464.0,"HarperCollins (March 17, 2009)",English
Gideon (A Novel),https://bulkbookstore.com/gideon-a-novel-9780061687372,14.99,0061687375,b'9780061687372',Alex Gordon,Paperback,432.0,"HarperCollins (January 6, 2015)",English
Warriors Manga: Ravenpaw's Path #1: Shattered Peace,https://bulkbookstore.com/warriors-ravenpaws-path-1-shattered-peace-9780061688652,6.99,0061688657,b'9780061688652',"Erin Hunter, James L. Barry",Paperback,112.0,"HarperCollins (November 24, 2009)",English
Don't Breathe a Word (A Novel),https://bulkbookstore.com/dont-breathe-a-word-a-novel-9780061689376,16.99,0061689378,b'9780061689376',Jennifer McMahon,Paperback,464.0,"HarperCollins (May 17, 2011)",English
What Looks LIke Crazy On an Ordinary Day,https://bulkbookstore.com/what-looks-like-crazy-on-an-ordinary-day-9780061710384,14.99,0061710385,b'9780061710384',Pearl Cleage,Paperback,256.0,"HarperCollins (January 27, 2009)",English
"The Dressmaker of Khair Khana (Five Sisters, One Remarkable Family, and the Woman Who Risked Everything to Keep Them Safe)",https://bulkbookstore.com/the-dressmaker-of-khair-khana-five-sisters-one-remarkable-family-and-the-woman-who-risked-everything-to-keep-them-safe-9780061732478,17.99,0061732478,b'9780061732478',Gayle Tzemach Lemmon,Paperback,304.0,"HarperCollins (March 20, 2012)",English
Silly Street: Selected Poems,https://bulkbookstore.com/silly-street-selected-poems-9780061765285,4.99,0061765287,b'9780061765285',"Jeff Foxworthy, Steve Bjorkman",Paperback,32.0,"HarperCollins (September 14, 2010)",English
"The Hotel on Place Vendome (Life, Death, and Betrayal at the Hotel Ritz in Paris)",https://bulkbookstore.com/the-hotel-on-place-vendome-life-death-and-betrayal-at-the-hotel-ritz-in-paris-9780061791048,16.99,0061791040,b'9780061791048',Tilar J. Mazzeo,Paperback,320.0,"HarperCollins (February 24, 2015)",English
C. S. Lewis Signature Classics (Boxed Set),https://bulkbookstore.com/c-s-lewis-signature-classics-boxed-set-9780060653026,69.99,0060653027,b'9780060653026',C. S. Lewis,Paperback,288.0,"HarperCollins (April 21, 2009)",English
"To Sir Phillip, With Love",https://bulkbookstore.com/to-sir-phillip-with-love-9780380820856,7.99,0380820854,b'9780380820856',Julia Quinn,Paperback,384.0,"HarperCollins (August 25, 2009)",English
Superman Classic: Superman versus Mongul,https://bulkbookstore.com/superman-classic-superman-versus-mongul-9780061885181,3.99,0061885185,b'9780061885181',"Michael Teitelbaum, MADA Design, Inc.",Paperback,32.0,"HarperCollins (January 25, 2011)",English
The Price of Love and Other Stories,https://bulkbookstore.com/the-price-of-love-and-other-stories-lp-9780061885006,26.99,0061885002,b'9780061885006',Peter Robinson,Paperback,618.0,"HarperCollins (September 29, 2009)",English
"The Food52 Cookbook, Volume 2 (Seasonal Recipes from Our Kitchens to Yours)",https://bulkbookstore.com/the-food52-cookbook-volume-2-seasonal-recipes-from-our-kitchens-to-yours-9780061887291,35.0,0061887293,b'9780061887291',"Amanda Hesser, Merrill Stubbs",Hardcover,304.0,"HarperCollins (December 4, 2012)",English
Pete the Cat: Rocking in My School Shoes,https://bulkbookstore.com/pete-the-cat-rocking-in-my-school-shoes-9780061910241,18.99,0061910244,b'9780061910241',"Eric Litwin, James Dean, Kimberly Dean",Hardcover,40.0,"HarperCollins (July 26, 2011)",English
Pirate Latitudes,https://bulkbookstore.com/pirate-latitudes-9780061929380,9.99,0061929387,b'9780061929380',Michael Crichton,Paperback,416.0,"HarperCollins (September 28, 2010)",English
Pirate Latitudes (A Novel) - 9780061929403,https://bulkbookstore.com/pirate-latitudes-lp-a-novel-9780061929403,27.99,0061929409,b'9780061929403',Michael Crichton,Paperback,448.0,"HarperCollins (November 24, 2009)",English
"The Black Hand (The Bloody Rise and Redemption of ""Boxer"" Enriquez, a Mexican Mob Killer)",https://bulkbookstore.com/the-black-hand-the-bloody-rise-and-redemption-of-boxer-enriquez-a-mexican-mob-killer-9780061944185,17.99,0061944181,b'9780061944185',Chris Blatchford,Paperback,368.0,"HarperCollins (September 8, 2009)",English
Orphan Train (A Novel),https://bulkbookstore.com/orphan-train-a-novel-9780061950704,24.99,006195070X,b'9780061950704',Christina Baker Kline,Hardcover,320.0,"HarperCollins (October 14, 2014)",English
Everything Goes: 123 Beep Beep Beep!: A Counting Book,https://bulkbookstore.com/everything-goes-123-beep-beep-beep-a-counting-book-9780061958120,8.99,0061958123,b'9780061958120',"Brian Biggs, Brian Biggs",Board Book,24.0,"HarperCollins (December 26, 2012)",English
Be Love Now (The Path of the Heart),https://bulkbookstore.com/be-love-now-the-path-of-the-heart-9780061961380,16.99,0061961388,b'9780061961380',"Ram Dass, Rameshwar Das",Paperback,336.0,"HarperCollins (November 8, 2011)",English
The Thyroid Diet Revolution (Manage Your Master Gland of Metabolism for Lasting Weight Loss),https://bulkbookstore.com/the-thyroid-diet-revolution-manage-your-master-gland-of-metabolism-for-lasting-weight-loss-9780061987472,17.99,0061987476,b'9780061987472',Mary J. Shomon,Paperback,512.0,"HarperCollins (January 3, 2012)",English
"Collins French Concise, 5th Edition",https://bulkbookstore.com/collins-french-concise-5th-edition-9780061998638,17.99,006199863X,b'9780061998638',HarperCollins Publishers Ltd.,Paperback,1152.0,"HarperCollins (June 15, 2010)",English
Bad Boy (An Inspector Banks Novel),https://bulkbookstore.com/bad-boy-lp-an-inspector-banks-novel-9780062002150,25.99,0062002155,b'9780062002150',Peter Robinson,Paperback,588.0,"HarperCollins (August 24, 2010)",English
13 Little Blue Envelopes,https://bulkbookstore.com/13-little-blue-envelopes-9780060541439,9.99,0060541431,b'9780060541439',Maureen Johnson,Paperback,368.0,"HarperCollins (December 21, 2010)",English
Insurgent,https://bulkbookstore.com/insurgent-9780062024053,12.99,0062024051,b'9780062024053',Veronica Roth,Paperback,592.0,"HarperCollins (January 20, 2015)",English
Leaving Everything Most Loved (A Maisie Dobbs Novel),https://bulkbookstore.com/leaving-everything-most-loved-a-maisie-dobbs-novel-9780062049612,15.99,0062049615,b'9780062049612',Jacqueline Winspear,Paperback,368.0,"HarperCollins (April 8, 2014)",English
What's Your Number? (A Novel),https://bulkbookstore.com/whats-your-number-a-novel-9780062062628,14.99,006206262X,b'9780062062628',Karyn Bosnak,Paperback,368.0,"HarperCollins (September 6, 2011)",English
"The MELT Method (A Breakthrough Self-Treatment System to Eliminate Chronic Pain, Erase the Signs of Aging, and Feel Fantastic in Just 10 Minutes a Day!)",https://bulkbookstore.com/the-melt-method-a-breakthrough-self-treatment-system-to-eliminate-chronic-pain-erase-the-signs-of-aging-and-feel-fantastic-in-just-10-minutes-a-day-9780062065353,25.99,0062065351,b'9780062065353',Sue Hitzmann,Hardcover,304.0,"HarperCollins (January 22, 2013)",English
The Body in the Library (A Miss Marple Mystery),https://bulkbookstore.com/the-body-in-the-library-a-miss-marple-mystery-9780062073617,15.99,0062073613,b'9780062073617',Agatha Christie,Paperback,224.0,"HarperCollins (April 12, 2011)",English
Mrs. McGinty's Dead (A Hercule Poirot Mystery),https://bulkbookstore.com/mrs-mcgintys-dead-a-hercule-poirot-mystery-9780062074089,15.99,0062074083,b'9780062074089',Agatha Christie,Paperback,272.0,"HarperCollins (October 25, 2011)",English
Clean Gut (The Breakthrough Plan for Eliminating the Root Cause of Disease and Revolutionizing Your Health),https://bulkbookstore.com/clean-gut-the-breakthrough-plan-for-eliminating-the-root-cause-of-disease-and-revolutionizing-your-health-9780062075871,16.99,006207587X,b'9780062075871',Alejandro Junger,Paperback,256.0,"HarperCollins (December 30, 2014)",English
The Illustrated Man,https://bulkbookstore.com/the-illustrated-man-9780062079978,16.99,0062079972,b'9780062079978',Ray Bradbury,Paperback,288.0,"HarperCollins (October 11, 2011)",English
The Graveyard Book (A Novel),https://bulkbookstore.com/the-graveyard-book-a-novel-9780062081551,16.99,0062081551,b'9780062081551',"Neil Gaiman, Dave McKean",Paperback,320.0,"HarperCollins (September 27, 2011)",English
"Fancy Nancy: Nancy Clancy, Super Sleuth",https://bulkbookstore.com/fancy-nancy-nancy-clancy-super-sleuth-9780062082930,9.99,0062082930,b'9780062082930',"Jane O'Connor, Robin Preiss Glasser",Hardcover,128.0,"HarperCollins (April 3, 2012)",English
"Fancy Nancy: Nancy Clancy, Secret of the Silver Key",https://bulkbookstore.com/fancy-nancy-nancy-clancy-secret-of-the-silver-key-9780062082992,9.99,006208299X,b'9780062082992',"Jane O'Connor, Robin Preiss Glasser",Hardcover,128.0,"HarperCollins (May 6, 2014)",English
Dixie and the Best Day Ever,https://bulkbookstore.com/dixie-and-the-best-day-ever-9780062086594,4.99,0062086596,b'9780062086594',"Grace Gilman, Jacqueline Rogers",Paperback,32.0,"HarperCollins (October 7, 2014)",English
Amelia Bedelia Chapter Book #1: Amelia Bedelia Means Business,https://bulkbookstore.com/amelia-bedelia-chapter-book-1-amelia-bedelia-means-business-9780062094964,5.99,0062094963,b'9780062094964',"Herman Parish, Lynne Avril",Paperback,160.0,"HarperCollins (January 29, 2013)",English
Amelia Bedelia Chapter Book #4: Amelia Bedelia Goes Wild!,https://bulkbookstore.com/amelia-bedelia-chapter-book-4-amelia-bedelia-goes-wild-9780062095060,5.99,0062095064,b'9780062095060',"Herman Parish, Lynne Avril",Paperback,160.0,"HarperCollins (March 25, 2014)",English
The School for Good and Evil #2: A World without Princes,https://bulkbookstore.com/the-school-for-good-and-evil-2-a-world-without-princes-9780062104922,17.99,0062104926,b'9780062104922',"Soman Chainani, Iacopo Bruno",Hardcover,448.0,"HarperCollins (April 15, 2014)",English
The Wapshot Chronicle,https://bulkbookstore.com/the-wapshot-chronicle-9780060528874,14.99,0060528877,b'9780060528874',John Cheever,Paperback,368.0,"HarperCollins (June 3, 2003)",English
The Wapshot Scandal,https://bulkbookstore.com/the-wapshot-scandal-9780060528881,14.99,0060528885,b'9780060528881',John Cheever,Paperback,320.0,"HarperCollins (August 23, 2011)",English
Before the Poison (A Novel) - 9780062107039,https://bulkbookstore.com/before-the-poison-lp-a-novel-9780062107039,26.99,0062107038,b'9780062107039',Peter Robinson,Paperback,608.0,"HarperCollins (February 21, 2012)",English
Pete the Cat and His Four Groovy Buttons,https://bulkbookstore.com/pete-the-cat-and-his-four-groovy-buttons-9780062110589,18.99,0062110586,b'9780062110589',"Eric Litwin, James Dean, Kimberly Dean",Hardcover,40.0,"HarperCollins (May 1, 2012)",English
"American Spartan (The Promise, the Mission, and the Betrayal of Special Forces Major Jim Gant)",https://bulkbookstore.com/american-spartan-the-promise-the-mission-and-the-betrayal-of-special-forces-major-jim-gant-9780062114990,16.99,0062114999,b'9780062114990',Ann Scott Tyson,Paperback,400.0,"HarperCollins (March 3, 2015)",English
Splat the Cat and the Pumpkin-Picking Plan (Includes More Than 30 Stickers!),https://bulkbookstore.com/splat-the-cat-and-the-pumpkin-picking-plan-9780062115867,4.99,0062115863,b'9780062115867',"Rob Scotton, Rob Scotton",Paperback,24.0,"HarperCollins (July 22, 2014)",English
"Search Inside Yourself (The Unexpected Path to Achieving Success, Happiness (and World Peace))",https://bulkbookstore.com/search-inside-yourself-the-unexpected-path-to-achieving-success-happiness-and-world-peace-9780062116932,16.99,0062116932,b'9780062116932',"Chade-Meng Tan, Daniel Goleman, Jon Kabat-Zinn",Paperback,288.0,"HarperCollins (September 2, 2014)",English
Becoming Richard Pryor,https://bulkbookstore.com/becoming-richard-pryor-9780062123305,27.99,0062123300,b'9780062123305',Scott Saul,Hardcover,608.0,"HarperCollins (December 9, 2014)",English
Jinx's Magic,https://bulkbookstore.com/jinxs-magic-9780062129932,16.99,0062129937,b'9780062129932',Sage Blackwood,Hardcover,400.0,"HarperCollins (January 7, 2014)",English
Flat Stanley and the Very Big Cookie,https://bulkbookstore.com/flat-stanley-and-the-very-big-cookie-9780062189783,4.99,0062189786,b'9780062189783',"Jeff Brown, Macky Pamintuan",Paperback,32.0,"HarperCollins (January 27, 2015)",English
Collins Pocket Korean Dictionary (Miniature Edition),https://bulkbookstore.com/collins-pocket-korean-dictionary-9780062191717,11.99,0062191713,b'9780062191717',HarperCollins Publishers Ltd.,Paperback,448.0,"HarperCollins (November 27, 2012)",English
Meet the Dullards,https://bulkbookstore.com/meet-the-dullards-9780062198563,17.99,0062198564,b'9780062198563',"Sara Pennypacker, Daniel Salmieri",Hardcover,32.0,"HarperCollins (March 24, 2015)",English
Pete the Cat: Construction Destruction (Includes Over 30 Stickers!),https://bulkbookstore.com/pete-the-cat-construction-destruction-9780062198617,4.99,0062198610,b'9780062198617',"James Dean, James Dean, Kimberly Dean",Paperback,24.0,"HarperCollins (March 24, 2015)",English
Pete the Cat: Cavecat Pete,https://bulkbookstore.com/pete-the-cat-cavecat-pete-9780062198631,4.99,0062198637,b'9780062198631',"James Dean, James Dean, Kimberly Dean",Paperback,24.0,"HarperCollins (January 20, 2015)",English
Epitaph (A Novel of the O.K. Corral),https://bulkbookstore.com/epitaph-a-novel-of-the-o-k-corral-9780062198761,27.99,0062198769,b'9780062198761',Mary Doria Russell,Hardcover,592.0,"HarperCollins (March 3, 2015)",English
The Book of Forgiving (The Fourfold Path for Healing Ourselves and Our World),https://bulkbookstore.com/the-book-of-forgiving-the-fourfold-path-for-healing-ourselves-and-our-world-9780062203564,25.99,0062203568,b'9780062203564',"Desmond Tutu, Mpho Tutu",Hardcover,240.0,"HarperCollins (March 18, 2014)",English
Astoria (Astor and Jefferson's Lost Pacific Empire: A Tale of Ambition and Survival on the Early American Frontier),https://bulkbookstore.com/astoria-astor-and-jeffersons-lost-pacific-empire-a-tale-of-ambition-and-survival-on-the-early-american-frontier-9780062218308,16.99,0062218301,b'9780062218308',Peter Stark,Paperback,400.0,"HarperCollins (February 10, 2015)",English
Snuff (A Novel of Discworld),https://bulkbookstore.com/snuff-a-novel-of-discworld-9780062218865,9.99,0062218867,b'9780062218865',Terry Pratchett,Paperback,480.0,"HarperCollins (December 26, 2012)",English
Charlie the Ranch Dog: Where's the Bacon?,https://bulkbookstore.com/charlie-the-ranch-dog-wheres-the-bacon-9780062219084,4.99,0062219081,b'9780062219084',"Ree Drummond, Diane deGroat",Paperback,32.0,"HarperCollins (June 25, 2013)",English
Charlie the Ranch Dog: Charlie's Snow Day,https://bulkbookstore.com/charlie-the-ranch-dog-charlies-snow-day-9780062219114,4.99,0062219111,b'9780062219114',"Ree Drummond, Diane deGroat",Paperback,32.0,"HarperCollins (October 8, 2013)",English
Charlie the Ranch Dog: Charlie's New Friend,https://bulkbookstore.com/charlie-the-ranch-dog-charlies-new-friend-9780062219145,4.99,0062219146,b'9780062219145',"Ree Drummond, Diane deGroat",Paperback,32.0,"HarperCollins (January 7, 2014)",English
Charlie the Ranch Dog: Charlie Goes to the Doctor,https://bulkbookstore.com/charlie-the-ranch-dog-charlie-goes-to-the-doctor-9780062219176,4.99,0062219170,b'9780062219176',"Ree Drummond, Diane deGroat",Paperback,32.0,"HarperCollins (June 17, 2014)",English
A Dangerous Place (A Maisie Dobbs Novel),https://bulkbookstore.com/a-dangerous-place-a-maisie-dobbs-novel-9780062220554,26.99,0062220551,b'9780062220554',Jacqueline Winspear,Hardcover,320.0,"HarperCollins (March 17, 2015)",English
Watching the Dark (An Inspector Banks Novel),https://bulkbookstore.com/watching-the-dark-lp-an-inspector-banks-novel-9780062222916,25.99,0062222910,b'9780062222916',Peter Robinson,Paperback,592.0,"HarperCollins (January 8, 2013)",English
Waiting to Be Heard (A Memoir) - 9780062223265,https://bulkbookstore.com/waiting-to-be-heard-lp-a-memoir-9780062223265,28.99,0062223267,b'9780062223265',Amanda Knox,Paperback,608.0,"HarperCollins (April 30, 2013)",English
Tales from Both Sides of the Brain (A Life in Neuroscience),https://bulkbookstore.com/tales-from-both-sides-of-the-brain-a-life-in-neuroscience-9780062228802,28.99,0062228803,b'9780062228802',Michael S. Gazzaniga,Hardcover,448.0,"HarperCollins (February 3, 2015)",English
The Short and Fascinating Tale of Angelina Whitcombe,https://bulkbookstore.com/the-short-and-fascinating-tale-of-angelina-whitcombe-9780062230720,3.99,0062230727,b'9780062230720',Sabrina Darby,Paperback,224.0,"HarperCollins (August 14, 2012)",English
Small Gods (A Novel of Discworld),https://bulkbookstore.com/small-gods-a-novel-of-discworld-9780062237378,9.99,0062237373,b'9780062237378',Terry Pratchett,Paperback,400.0,"HarperCollins (October 29, 2013)",English
Any Duchess Will Do,https://bulkbookstore.com/any-duchess-will-do-9780062240125,8.99,0062240129,b'9780062240125',Tessa Dare,Paperback,384.0,"HarperCollins (May 28, 2013)",English
The Southerner's Handbook (A Guide to Living the Good Life),https://bulkbookstore.com/the-southerners-handbook-a-guide-to-living-the-good-life-9780062242389,28.99,0062242385,b'9780062242389',Editors of Garden and Gun,Hardcover,304.0,"HarperCollins (October 29, 2013)",English
Shake,https://bulkbookstore.com/shake-9780062242648,17.99,0062242644,b'9780062242648',Carli Davidson,Hardcover,144.0,"HarperCollins (October 22, 2013)",English
The Art of Neil Gaiman,https://bulkbookstore.com/the-art-of-neil-gaiman-9780062248565,39.99,0062248561,b'9780062248565',Hayley Campbell,Hardcover,320.0,"HarperCollins (May 20, 2014)",English
Red (A Crayon's Story),https://bulkbookstore.com/red-a-crayons-story-9780062252074,17.99,0062252070,b'9780062252074',"Michael Hall, Michael Hall",Hardcover,40.0,"HarperCollins (February 3, 2015)",English
The Kind Worth Killing (A Novel),https://bulkbookstore.com/the-kind-worth-killing-a-novel-9780062267528,25.99,0062267523,b'9780062267528',Peter Swanson,Hardcover,320.0,"HarperCollins (February 3, 2015)",English
